"","ID","X","ISO_SOV1","SOVEREIGN1","New.OpCode","X5STRING","Exped.","Location.x","Sublocation","SAUP.Cell","IUCN","Protection","USE.","Grounded.","Date","Year","Month","Long.in","Lat.in","Long.out","Lat.out","Time.In","Time.Out","EM.who","EM.date","PM.who","PM.date","ID.check","Field.comments","Processing.comments","OpCode","Camera.Depth..m.","Rig.","Site.Rig","Converted","Video.file","Left.Camera","Right.Cam","Site","Code","Distance.from.summit","Direction","Initial.obs","Vessel","HD.Num","Bait","Gear","Have.Lengths.","Have.MaxN.","Status","Seabed.depth..m.","Zone","Crew","Species","CTD","Water.sample.metadata","Project","Project.1","Wpt","Habitat.taken","Habitat.type","Total.time.Processed.for.MaxN","Location.y","GEONAME","TERRITORY1","conflicts","RuleofLaw_mean","NoViolence_mean","GovernmentEffectiveness_mean","Voice_mean","Corruption_mean","HDI_mean","Country","NGO","MarineEcosystemDependency","SAU","TravelTime_market","LinearDistcities","TravelTime_pop","LinearDistpop","FE_PurseSeine","FE_DriftingLongline","FE_FixedGear","FE_OtherFishing","FE_Trawlers","distPort","distSeamounts","distCoralReef","Bathymetry","Slope","distCoast","PP","CHL","SST_mean","SST_sd","protection"
"11",51,1748,"AUS","Australia","BRE19_051","BRE19_11","Bremer 2019","Bremer","Central",NA,"No","Out","Yes","no","08/03/2019",2019,"Mar",119.522971,-34.74985502,"119.524364","-34.74822801","17:00.0","25:00.0","CR","21/05/2019","N/A","N/A","N/A","","No Fish","BRE19_051","","25","","Yes","","207","209","","","","","","Big Dreams","","Pilchards","","#N/A","#N/A","Done_EM","","","","","CTD 2 + Boy","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,615.1442277,451202.6513,97.15432893,30219.70993,NA,NA,NA,NA,NA,144.7582397,234369.811,481770.4369,-393.3816833,89.99641418,31012.26986,353.2914124,0.21387434,19.32505226,1.29696703,"Out"
"12",56,1753,"AUS","Australia","BRE19_056","BRE19_12","Bremer 2019","Bremer","Central",NA,"No","Out","Yes","no","08/03/2019",2019,"Mar",119.524375,-34.79437097,"119.530607","-34.78883296","46:00.0","02:00.0","VS","21/05/2019","N/A","N/A","N/A","New rig","No Fish","BRE19_056","","6.1","","Yes","","228","229","","","","","","Big Dreams","","Pilchards","","#N/A","#N/A","Done_EM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,630.1442277,454324.4858,112.1543289,34537.4877,NA,NA,NA,NA,NA,143.8334503,229763.9723,484744.796,-1013.244934,89.99686432,35340.59815,335.3212891,0.202429071,19.11046791,1.399499178,"Out"
"13",61,1758,"AUS","Australia","BRE19_061","BRE19_13","Bremer 2019","Bremer","Central",NA,"II","In","Yes","no","09/03/2019",2019,"Mar",119.897555,-34.65140797,"119.928536","-34.64013197","10:00.0","52:00.0","VS","17/05/2019","VS","43602","ND","","","BRE19_061","","6.1","","Yes","","229","230","","","","","","Big Dreams","","Pilchards","","BRE19_061","BRE19_061","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,642.1097398,473311.7503,116.3086579,38360.69199,NA,NA,NA,NA,NA,181.1320648,252537.8987,505027.542,-861.8439941,89.994133,39057.19538,349.8753662,0.211185411,19.23796844,1.387973785,"Not reported"
"14",66,1763,"AUS","Australia","BRE19_066","BRE19_14","Bremer 2019","Bremer","Central",NA,"II","In","Yes","no","09/03/2019",2019,"Mar",119.904882,-34.69597002,"119.938564","-34.68227701","34:00.0","47:00.0","VS","17/05/2019","VS","43602","CR","","","BRE19_066","","25","","Yes","","215","216","","","","","","Big Dreams","","Pilchards","","BRE19_066","BRE19_066","Done_EMPM","","","","","CTD 2 + Boy","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,650.0803025,476662.2749,129.5512986,42332.60798,NA,NA,NA,NA,NA,179.864151,248251.4023,508256.6707,-1268.512573,89.99364471,43047.9792,341.2601013,0.204566836,19.08447838,1.493569613,"Not reported"
"15",71,1768,"AUS","Australia","BRE19_071","BRE19_15","Bremer 2019","Bremer","Central",NA,"II","In","Yes","no","09/03/2019",2019,"Mar",119.82806,-34.71797998,"119.861759","-34.71658004","26:00.0","51:00.0","VS","20/05/2019","VS","43605","CR","","Bronze whaler","BRE19_071","","29","","Yes","","184","185","","","","","","Big Dreams","","Pilchards","","BRE19_071","BRE19_071","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,643.0092347,472126.5039,129.8528137,39993.01941,NA,NA,NA,NA,NA,173.140625,243933.4468,503496.0661,-1316.758545,89.9935379,40743.02413,337.2961426,0.202183858,19.00682259,1.536800146,"Not reported"
"16",76,1773,"AUS","Australia","BRE19_076","BRE19_16","Bremer 2019","Bremer","Central",NA,"VI","In","Yes","no","09/03/2019",2019,"Mar",119.825738,-34.67484302,"119.864951","-34.67333604","01:00.0","37:00.0","CR","17/05/2019","CR","43602","VS","Check rig no.","","BRE19_076","","6.1","","Yes","","243","244","","","","","","Big Dreams","","Pilchards","","BRE19_076","BRE19_076","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,304.7643406,628.3523805,469208.6957,114.8528137,35992.12612,NA,NA,NA,NA,NA,174.3827057,248252.8452,500707.9362,-1010.050598,89.99772644,36735.18333,345.312439,0.206921518,19.18135452,1.419063449,"Not reported"
"17",84,1578,"AUS","Australia","BRE19_084","BRE19_17","Bremer 2019","Bremer","West",NA,"No","Out","Yes","no","10/03/2019",2019,"Mar",119.472933,-34.747638,"119.507035","-34.73014296","34:00.0","49:00.0","VS","15/05/2019","VS","43600","CR","","","BRE19_084","","6.1","","Yes","","224","225","","","","","","Big Dreams","","Pilchards","","BRE19_084","BRE19_084","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,407.3998432,618.8721497,447357.7323,92.18376618,28195.271,NA,NA,NA,NA,NA,140.308136,233900.1606,477806.7808,-128.3027496,89.98957825,29008.59076,356.460968,0.218051761,19.34369659,1.285578012,"Out"
"18",88,1582,"AUS","Australia","BRE19_088","BRE19_18","Bremer 2019","Bremer","West",NA,"No","Out","Yes","no","10/03/2019",2019,"Mar",119.474542,-34.79635597,"119.541959","-34.78185302","02:00.0","04:00.0","VS","14/05/2019","VS","43599","CR","","Cal files for rig 27 no good","BRE19_088","","27","","Yes","","232","233","","","","","","Big Dreams","","Pilchards","","BRE19_088","BRE19_088","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,407.3998432,633.8721497,450805.8492,107.1837662,33159.31152,NA,NA,NA,NA,NA,139.1392212,228841.9915,481091.6439,-776.583374,89.99648285,33972.68851,337.280426,0.205227047,19.17833328,1.365084052,"Out"
"19",93,1587,"AUS","Australia","BRE19_093","BRE19_19","Bremer 2019","Bremer","West",NA,"No","Out","Yes","no","10/03/2019",2019,"Mar",119.429148,-34.83785301,"119.468404","-34.81578397","13:00.0","16:00.0","VS","14/05/2019","VS","43599","CR","","","BRE19_093","","27","","Yes","","250","251","","","","","","Big Dreams","","Pilchards","","BRE19_093","BRE19_093","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,407.3998432,642.1442277,450378.523,112.9705627,35823.53379,NA,NA,NA,NA,NA,134.7555847,223942.9823,480400.7981,-900.567749,89.99162292,36080.32545,331.4881592,0.200848579,19.12260437,1.408951759,"Out"
"20",96,1590,"AUS","Australia","BRE19_096","BRE19_20","Bremer 2019","Bremer","West",NA,"No","In","No","no","10/03/2019",2019,"Mar",119.412639,-34.79795855,"119.4681835","-34.77429799","31:00.0","02:00.0","N/A","N/A","N/A","N/A","N/A","No rig","","BRE19_096","","N/A","","N/A","","N/A","N/A","","","","","","Big Dreams","","Pilchards","","#N/A","#N/A","N_miss","","","","","","","","GWOT","",NA,NA,NA,"Bremer","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,407.3998432,628.901587,446408.6951,99.72792206,31385.92355,NA,NA,NA,NA,NA,133.7655487,227923.3746,476525.3446,-475.8981018,89.99591064,31626.78127,344.7660828,0.208847344,19.31812477,1.309992552,"Out"
"21",103,1838,"AUS","Australia","GCT18_100","GCT18_20","Gracetown 2018","Gracetown","Gracetown",NA,"VI","In","Yes","no","02/06/2018",2018,"Jun",114.800051,-33.88761903,"114.834547","-33.90424797","40:00.0","55:00.0","LM","19/06/2018","","N/A","N/A","","No fish","GCT_100","10","6.1","","","","116","117","2.4","","","","","NEGU","","Sardines (waste)","","#N/A","#N/A","Done_EM","","","","","1 and girl","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,461.6086732,358.9188309,226320.7208,51,16591.20816,NA,NA,NA,NA,NA,42.70523071,172794.4342,208318.9677,-45.91628647,89.68478394,17153.36056,444.8800964,0.25131771,20.30109406,1.236611485,"Not reported"
"22",104,1839,"AUS","Australia","GCT19_001","GCT19_01","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","28/02/2019",2019,"Feb",114.859167,-34.12853102,"114.847379","-34.11895696","50:00.0","50:00.0","AJ","10/05/2019","AJ","43595","CR","","4mins short","GCT19_001","","12","","Yes","","100","101","","","","","","NEGU","","Sardine waste","","GCT19_001","GCT19_001","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,377.8183259,246566.7666,39.72792206,12139.24543,NA,NA,NA,NA,NA,61.3122673,146685.1141,231384.3599,-42.94435501,89.29291534,13062.88199,427.3965454,0.245005727,20.25093651,1.171832442,"Part"
"23",109,1844,"AUS","Australia","GCT19_006","GCT19_02","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","28/02/2019",2019,"Feb",114.847208,-34.08589404,"114.829463","-34.07515003","09:00.0","09:00.0","AJ","13/05/2019","AJ","43598","ND","","","GCT19_006","","R5","","Yes","","110","111","","","","","","NEGU","","Sardine waste","","GCT19_006","GCT19_006","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,389.3036072,242967.4971,40.24264069,12835.16543,NA,NA,NA,NA,NA,57.73488235,151316.4581,227294.3228,-43.05157471,89.54735565,13946.02224,440.774292,0.25483644,20.23994827,1.171547532,"Part"
"24",117,1852,"AUS","Australia","GCT19_014","GCT19_03","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","28/02/2019",2019,"Feb",114.879275,-34.08008597,"114.869185","-34.07112898","40:00.0","40:00.0","AJ","14/05/2019","AJ","43599","ND","","","GCT19_014","","R4","","Yes","","126","127","","","","","","NEGU","","Sardine waste","","GCT19_014","GCT19_014","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,382.3502884,241088.8354,32.48528137,9841.701783,NA,NA,NA,NA,NA,55.49947739,151568.5732,225927.1458,-41.05962372,88.86698151,10961.2512,NA,0.285778373,20.1486702,1.219881892,"Part"
"25",122,1857,"AUS","Australia","GCT19_019","GCT19_04","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","28/02/2019",2019,"Feb",114.863773,-34.06256402,"114.854125","-34.05582698","52:00.0","54:00.0","AJ","15/05/2019","AJ","43600","VS","","","GCT19_019","","R10","","Yes","","136","137","","","","","","NEGU","","Sardine waste","","GCT19_019","GCT19_019","Done_EMPM","","","","","1 and girl","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,382.8650071,240044.6424,36,11739.66991,NA,NA,NA,NA,NA,54.35832977,153581.5235,224494.744,-40.86468887,89.23789978,12855.10747,446.1734314,0.256814063,20.25257492,1.199476957,"Part"
"26",124,1859,"AUS","Australia","GCT19_021","GCT19_05","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","02/03/2019",2019,"Mar",114.705565,-34.12593003,"114.721152","-34.12214904","11:00.0","12:00.0","AJ","15/05/2019","N/A","N/A","ND","","Right 6mins short, Left short cant measure","GCT19_021","","12","","Yes","","100","101","","","","","","NEGU","","Sardine waste","","#N/A","GCT19_021","Done_EM","","","","","","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,419.8183259,252917.1788,81.72792206,26647.81593,NA,NA,NA,NA,NA,68.31378937,149500.5402,235199.2043,-135.4807129,89.7947998,27687.0812,340.4433594,0.186428204,20.58645821,1.24808085,"Part"
"27",130,1865,"AUS","Australia","GCT19_027","GCT19_06","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","02/03/2019",2019,"Mar",114.686344,-34.108091,"114.699643","-34.11175003","31:00.0","32:00.0","AJ","17/05/2019","AJ","43602","CR","","Clupids too far away","GCT19_027","","R4","","Yes","","112","113","","","","","","NEGU","","Sardine waste","","GCT19_027","GCT19_027","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,428.3036072,252128.1375,85.24264069,28341.22093,NA,NA,NA,NA,NA,67.63745117,151760.0942,233973.417,-138.283371,89.76451874,29421.57941,344.5518799,0.18878831,20.59630203,1.245671988,"Part"
"28",135,1870,"AUS","Australia","GCT19_032","GCT19_07","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","02/03/2019",2019,"Mar",114.653315,-34.10902197,"114.661694","-34.12579299","56:00.0","56:00.0","AJ","20/05/2019","N/A","N/A","N/A","","No fish","GCT19_032","","R2","","Yes","","122","123","","","","","","NEGU","","Sardine waste","","#N/A","#N/A","Done_EM","","","","","","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,437.3036072,253752.1192,94.24264069,31529.2951,NA,NA,NA,NA,NA,69.96658325,152424.3704,235086.9717,-140.5941925,89.62038422,32609.93267,338.4589844,0.184647962,20.6170826,1.262765527,"Part"
"29",140,1875,"AUS","Australia","GCT19_037","GCT19_08","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","02/03/2019",2019,"Mar",114.677892,-34.07100401,"114.686511","-34.079516","11:00.0","12:00.0","AJ","21/05/2019","N/A","N/A","N/A","","No fish, 19mins short","GCT19_037","","R7","","Yes","","132","133","","","","","","NEGU","","Sardine waste","","#N/A","#N/A","Done_EM","","","","","","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,430.8305192,249074.3407,90,29247.43426,NA,NA,NA,NA,NA,64.7937851,155777.1918,230502.4693,-137.9272003,89.73410034,30358.91215,348.3937683,0.19074443,20.60765648,1.239451289,"Part"
"30",148,1883,"AUS","Australia","GCT19_045","GCT19_09","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","02/03/2019",2019,"Mar",114.726279,-34.078553,"114.72694","-34.07344499","38:00.0","38:00.0","ND","22/05/2019","ND","43607","CR","","","GCT19_045","","R6","","Yes","","148","149","","","","","","NEGU","","Sardine waste","","GCT19_045","GCT19_045","Done_EMPM","","","","","","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,420.0315293,247541.6339,74.48528137,24528.28832,NA,NA,NA,NA,NA,62.74667358,153995.0516,229803.7651,-121.5159378,89.91291046,25637.34483,362.168335,0.199688897,20.53713036,1.224316835,"Part"
"31",153,1888,"AUS","Australia","GCT19_050","GCT19_10","Gracetown 2019","Gracetown","Gracetown",NA,"II","In","Yes","no","02/03/2019",2019,"Mar",114.757502,-34.07955699,"114.757778","-34.07771699","53:00.0","53:00.0","AJ","17/05/2019","N/A","N/A","N/A","","No fish","GCT19_050","","R1","","Yes","","159","160","","","","","","NEGU","","Sardine waste","","#N/A","#N/A","Done_EM","","","","","","","","GWOT","",NA,NA,NA,"Gracetown","Australian Exclusive Economic Zone","Australia",1,1.78,0.98,1.59,1.4,1.85,0.933,"Australia",699,0.095532,278.4957393,411.0315293,246231.6738,65.48528137,21516.55867,NA,NA,NA,NA,NA,61.11511993,153315.5048,229010.8623,-97.84159088,89.96335602,22626.63885,385.1702576,0.215178296,20.4372921,1.194175601,"Part"
